學校名稱,購案件公告網址
國立臺灣大學,http://www.ntu.edu.tw/ntu_info/page_d.html
國立政治大學,http://financial.nccu.edu.tw/
國立清華大學,http://info.web.nthu.edu.tw/files/11-1890-10537.php?Lang=zh-tw
國立中興大學,http://secret.nchu.edu.tw/info/04other.html#3-1
國立成功大學,http://purch.oga.ncku.edu.tw/files/11-1073-17000.php?Lang=zh-tw
國立交通大學,http://public.nctu.edu.tw/index.php/other/onemillion
國立中央大學,http://pdc.adm.ncu.edu.tw/OMI/A431.html
國立中山大學,http://www3.nsysu.edu.tw/financial/fin04.html
國立中正大學,http://secretar.ccu.edu.tw/secretar_web/adm/#four_3
國立臺灣海洋大學,"http://www.oga.ntou.edu.tw/dcm/101-103%e5%ad%b8%e5%b9%b4%e5%ba%a6%e5%ad%b8%e6%a0%a1%e6%8e
%a1%e8%b3%bc100%e8%90%ac%e5%85%83%e4%bb%a5%e4%b8%8a/"
國立陽明大學,http://info.web.ym.edu.tw/front/bin/home.phtml
國立東華大學,http://www.ndhu.edu.tw/files/13-1000-59037.php?Lang=zh-tw
國立暨南國際大學,http://www.ncnu.edu.tw/ncnuweb/page/showDetail.aspx?id=f6812ebe-ac8a-4074-849e-40feced1161e&board=unit&target=i
國立臺北大學,http://www.ntpu.edu.tw/admin/a9/org/a9-8/buyer1.php
國立嘉義大學,http://www.ncyu.edu.tw/NewSite/content.aspx?site_content_sn=44691
國立高雄大學,http://intro.nuk.edu.tw/info/school_info3.htm
國立臺東大學,http://pif.nttu.edu.tw/files/13-1046-47154.php
,http://pif.nttu.edu.tw/files/13-1046-47153.php
國立宜蘭大學,http://www.niu.edu.tw/financial/43.html
國立聯合大學,http://www.nuu.edu.tw/UIPWeb/wSite/lp?ctNode=20860&mp=2&idPath=10959_20860
國立臺南大學,http://info.nutn.edu.tw/Page/Index/Purchase
國立金門大學,http://www.nqu.edu.tw/cht/index.php?code=list&ids=2262
國立屏東大學,http://pubinfo.nptu.edu.tw/bin/home.php
國立臺灣師範大學,http://www.ntnu.edu.tw/final/
國立彰化師範大學,http://webadmin.ncue.edu.tw/er16/web_edit/edit_show.asp?id=1747
國立高雄師範大學,http://a.nknu.edu.tw/files/90-1000-4.php
國立臺北教育大學,http://financial.ntue.edu.tw/a04.asp
國立新竹教育大學,http://proj004.web2.nhcue.edu.tw/bin/home.php
國立臺中教育大學,http://www.ntcu.edu.tw/newweb/financial/default.htm
國立臺北藝術大學,http://info.tnua.edu.tw/main/
國立臺灣藝術大學,http://www.ntua.edu.tw/financial.html
國立臺南藝術大學,http://info.tnnua.edu.tw/releaseRedirect.do?unitID=243&pageID=8607
國立臺灣科技大學,http://www.financial-info.ntust.edu.tw/files/11-1087-5481.php?Lang=zh-tw
國立臺北科技大學,http://info.ntut.edu.tw/files/11-1139-9497.php
國立雲林科技大學,http://facts.yuntech.edu.tw/index.php/2013-09-27-01-26-09/2015-08-10-03-16-01
國立虎尾科技大學,"http://nfucc.nfu.edu.tw/files/15-1018-40839,c7153-1.php"
國立高雄第一科技大學,http://www.gen.nkfust.edu.tw/files/11-1003-3334.php
國立高雄應用科技大學,"http://public.kuas.edu.tw/files/15-1020-44887,c1689-1.php?Lang=zh-tw"
國立高雄海洋科技大學,http://www.nkmu.edu.tw/schoolfees2/s4_4.html
國立屏東科技大學,http://public.npust.edu.tw/files/13-1002-20251.php?Lang=zh-tw
國立澎湖科技大學,http://www.npu.edu.tw/from/index.asp?m=2&m1=7&m2=436&gp=381
國立勤益科技大學,"http://info.ncut.edu.tw/files/15-1042-35570,c4293-1.php"
國立臺北護理健康大學,"http://www.ntunhs.edu.tw/files/15-1000-24484,c1387-1.php"
國立高雄餐旅大學,http://finance.nkuht.edu.tw/page61/super_pages.php?ID=page691
國立臺中科技大學,http://info.nutc.edu.tw/files/11-1041-7366.php
國立體育大學,http://secretary.ntsu.edu.tw/files/11-1002-1046-1.php
國立臺灣體育運動大學,http://financial.camel.ntupes.edu.tw/front/bin/cglist.phtml?Category=43
國立臺北商業大學校,http://info.ntub.edu.tw/files/11-1022-1772-1.php
國立臺灣戲曲學院,http://www.tcpa.edu.tw/files/11-1000-1632-1.php
國立臺南護理專科學校,http://www-news.ntin.edu.tw/administration_president1.aspx?id=778
國立臺東專科學校,http://secretary.ntc.edu.tw/ploy/activity_view.asp?ClassID=627
